label,value
"VN","441"
"US","393"
"IN","194"
"DE","103"
"GB","101"
"FR","93"
"PK","65"
"CA","61"
"PH","52"
"ES","32"
"CO","29"
"IT","28"
"CH","27"
"AU","25"
"BD","25"
"CZ","22"
"HK","19"
"BR","18"
"NL","18"
"CL","17"
"MX","16"
"PE","12"
"ID","12"
"GT","11"
"BG","10"
"TW","10"
"AE","10"
"MU","10"
"SE","9"
"MA","9"
"LV","8"
"BE","7"
"TR","7"
"LU","6"
"RU","5"
"HU","5"
"PT","5"
"HN","5"
"IL","4"
"LT","4"
"UA","4"
"MY","4"
"KR","3"
"RO","3"
"NZ","3"
"ZA","3"
"BW","2"
"AT","2"
"PL","2"
"SG","2"
"NO","2"
"SN","2"
"JP","1"
"XK","1"
"DK","1"
"RS","1"
"IE","1"
"NG","1"
"EC","1"
"AL","1"
"QA","1"
"EG","1"
"MW","1"
"KG","1"
"CR","1"
"SI","1"
"AR","1"
